"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-19","0.00","53","31","31",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-20","0.00","50","31","46",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-21","0.00","68","46","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-22","0.00","73","46","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-23","0.11","69","50","50","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-24","0.58","67","50","67","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-25","0.00","76","46","46",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-26","0.00","61","35","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-27","0.00","55","30","32",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-28","0.00","55","30","37",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-02-29","0.00","68","37","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-01","0.00","70","48","50",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-02","0.18","74","50","59",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-03","0.00","66","35","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-04","1.29","54","36","39",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-05","0.00","50","34","35",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-06","0.00","53","35","45",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-07","0.00","58","36","37",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-08","0.00","65","37","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-09","0.00","78","49","49",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-10","0.00","79","49","60",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-11","0.00","81","60","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-12","0.00","83","58","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-13","0.02","79","58","64",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-14","0.00","81","58","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-15","0.19","83","59","59",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-16","0.00","82","59","61",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-17","0.00","84","55","55",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-18","0.00","76","54","60",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-19","0.00","70","53","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-20","0.00","75","45","46",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-21","0.29","49","42","42",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-22","0.00","59","36","36",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-23","0.00","65","35","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-24","0.00","76","52","52",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-25","0.14","78","52","68",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-26","0.00","81","65","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-27","0.04","69","60","61",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-28","0.81","65","61","63",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-29","0.00","81","51","51",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-30","0.00","71","46","48",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-03-31","0.00","69","48","57",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-01","0.04","78","57","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-02","0.28","75","66","68",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-03","0.00","77","52","52",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-04","0.00","65","43","43",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-05","0.00","75","43","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-06","0.00","58","36","37",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-07","0.00","66","37","64",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-08","0.46","77","55","55",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-09","0.00","70","44","44",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-10","0.00","67","33","34",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-11","0.00","55","34","45",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-12","0.00","73","45","62",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-13","0.18","68","53","53","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-14","0.00","67","43","44",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-15","0.00","65","44","48",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-16","0.00","65","43","44",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-17","0.00","67","43","43",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-18","0.00","71","41","42",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-19","0.00","79","42","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-20","0.00","91","56","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-21","0.00","71","58","61",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-22","0.00","77","61","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-23","0.69","83","63","63",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-24","0.00","79","54","56",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-25","0.00","73","50","51",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-26","0.00","77","51","62",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-27","0.00","83","62","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-28","0.00","86","66","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-29","0.22","84","68","68",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-04-30","0.00","80","64","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-01","0.00","69","64","67",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-02","0.02","83","67","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-03","0.21","87","72","73",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-04","2.34","76","66","67",,"    1",,"    1",,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-05","0.00","82","58","62",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-06","0.01","77","47","50",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-07","0.00","69","50","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-08","0.00","79","53","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-09","0.00","91","65","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-10","0.00","93","69","70",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-11","0.00","93","64","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-12","0.00","87","66","70",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-13","0.23","90","65","71",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-14","0.21","83","63","69","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-15","0.00","85","58","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-16","0.00","74","49","55",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-17","0.00","73","55","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-18","0.30","81","69","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-19","0.32","72","58","59",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-20","0.00","72","59","63",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-21","0.28","70","63","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-22","0.00","83","65","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-23","0.17","77","54","54",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-24","0.00","72","53","56",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-25","0.00","81","56","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-26","0.00","88","65","70",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-27","0.00","88","63","65",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-28","0.00","83","65","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-29","0.68","81","63","70",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-30","0.24","83","70","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-05-31","0.12","82","69","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-01","0.22","79","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-02","0.12","83","69","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-03","0.00","89","72","75",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-04","0.00","89","74","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-05","0.00","94","77","80",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-06","0.00","90","78","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-07","1.89","87","71","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-08","0.00","91","68","73",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-09","0.00","88","59","64",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-10","0.00","83","64","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-11","0.00","84","68","70",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-12","0.29","90","70","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-13","0.00","97","73","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-14","0.00","84","64","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-15","0.00","92","69","78",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-16","0.59","90","74","79",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-17","0.00","94","77","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-18","2.26","91","68","69","    1","    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-19","0.00","83","65","66",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-20","0.00","83","59","62",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-21","0.00","87","62","73",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-22","0.00","89","73","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-23","0.00","93","77","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-24","0.00","95","76","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-25","0.14","93","71","73",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-26","0.00","88","71","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-27","0.00","85","72","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-28","0.00","87","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-29","0.13","88","73","75","    1","    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-06-30","0.00","91","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-01","0.00","87","74","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-02","0.51","84","73","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-03","0.00","91","78","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-04","0.48","96","75","80",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-05","0.00","95","80","83",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-06","0.00","97","77","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-07","0.00","98","76","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-08","0.00","96","74","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-09","0.37","99","73","74",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-10","0.00","96","74","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-11","1.51","93","73","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-12","0.23","88","74","76",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-13","0.25","89","76","78",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-14","0.00","96","78","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-15","0.00","98","78","82",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-16","0.18","94","76","77",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-17","0.07","91","73","73",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-18","0.00","90","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-19","0.98","92","74","78",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-20","0.56","95","71","72",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-21","0.00","91","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-22","0.00","91","71","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-23","0.00","91","72","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-24","0.00","94","77","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-25","0.00","95","78","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-26","0.00","94","77","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-27","0.00","96","78","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-28","0.00","101","78","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-29","0.00","99","81","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-30","0.00","98","81","82",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-07-31","0.00","98","81","83",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-01","0.00","95","79","79",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-02","0.01","94","75","76",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-03","2.28","93","74","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-04","0.00","87","75","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-05","0.80","89","74","78",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-06","1.72","87","77","79",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-07","0.00","93","79","81",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-08","0.00","93","77","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-09","0.00","92","76","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-10","0.00","90","76","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-11","0.00","89","76","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-12","0.00","90","75","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-13","0.00","93","75","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-14","0.00","93","78","80",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-15","0.00","96","77","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-16","0.00","93","76","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-17","0.00","92","74","75",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-18","0.00","93","75","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-19","1.12","97","73","74",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-20","0.55","93","74","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-21","0.26","94","75","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-22","0.00","96","75","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-23","0.00","90","71","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-24","0.00","88","69","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-25","0.00","86","69","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-26","0.00","88","69","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-27","0.00","90","72","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-28","0.00","91","73","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-29","0.00","89","76","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-30","0.00","90","73","73",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-08-31","0.00","90","73","75",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-01","0.15","82","74","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-02","1.39","92","74","75",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-03","6.09","80","68","68",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-04","0.00","81","66","67",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-05","0.00","83","63","63",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-06","0.00","83","63","64",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-07","0.00","91","64","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-08","0.00","95","71","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-09","0.00","93","70","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-10","0.00","91","70","70",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-11","0.00","89","67","74",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-12","0.00","93","67","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-13","1.68","84","74","74",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-14","1.36","85","72","75",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-15","0.55","81","73","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-16","1.32","83","71","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-17","0.00","87","72","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-18","0.18","86","72","76",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-19","0.16","87","72","80",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-20","1.48","85","71","73",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-21","0.00","77","72","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-22","0.16","84","72","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-23","2.20","84","72","74",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-24","0.00","86","72","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-25","0.00","87","70","71",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-26","0.00","83","69","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-27","0.00","82","69","72",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-28","0.00","84","69","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-29","0.00","87","69","78",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-09-30","0.00","83","73","74",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-01","2.82","81","69","70",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-02","0.31","82","69","70","    1","    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-03","0.00","83","61","63","    1",,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-04","0.00","84","63","69",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-05","0.00","74","68","68",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-06","0.00","81","67","67",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-07","0.24","79","67","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-08","1.34","82","77","77",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-09","4.66","81","64","64",,"    1",,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-10","0.00","74","53","53",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-11","0.00","69","51","51",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-12","0.00","79","51","62",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-13","0.00","80","59","59",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-14","0.00","80","59","63",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-15","0.00","73","56","56",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-16","0.00","80","56","57",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-17","0.00","82","57","58",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","2016-10-18","0.00","81","58","61",,,,,,
